ObjVal: 35689294.461511, Gap: 0.000927, Runtime: 187.349232
ObjVal: 32823460.686149, Gap: 0.000563, Runtime: 173.810523
ObjVal: 31168825.300463, Gap: 0.000954, Runtime: 62.680741
ObjVal: 30797582.395427, Gap: 0.000737, Runtime: 86.097279
ObjVal: 34233183.340364, Gap: 0.000814, Runtime: 62.214512
ObjVal: 31406256.496033, Gap: 0.000826, Runtime: 87.582690
ObjVal: 37664982.596283, Gap: 0.000976, Runtime: 113.242978
ObjVal: 34541336.228201, Gap: 0.000549, Runtime: 174.205851
ObjVal: 37184928.483421, Gap: 0.000956, Runtime: 78.458570
ObjVal: 38833794.169402, Gap: 0.000865, Runtime: 121.664040
ObjVal: 35001034.161612, Gap: 0.000949, Runtime: 52.363868
ObjVal: 33204718.346445, Gap: 0.000960, Runtime: 62.135902
