ObjVal: 35674313.794425, Gap: 0.000487, Runtime: 179.865386
ObjVal: 32818165.285769, Gap: 0.000388, Runtime: 268.102765
ObjVal: 31157187.280835, Gap: 0.000497, Runtime: 376.902140
ObjVal: 30789392.145314, Gap: 0.000469, Runtime: 64.273621
ObjVal: 34225411.594657, Gap: 0.000499, Runtime: 194.435677
ObjVal: 31399232.475794, Gap: 0.000482, Runtime: 564.524010
ObjVal: 37644710.485065, Gap: 0.000373, Runtime: 62.551208
ObjVal: 34540188.895562, Gap: 0.000461, Runtime: 557.156616
ObjVal: 37166306.865177, Gap: 0.000448, Runtime: 55.922590
ObjVal: 38819577.999704, Gap: 0.000486, Runtime: 154.316640
ObjVal: 34990644.810524, Gap: 0.000498, Runtime: 123.760888
ObjVal: 33188475.240531, Gap: 0.000456, Runtime: 56.336101
