ObjVal: 3828407.556285, Gap: 0.000996, Runtime: 37.550743
ObjVal: 4813876.003172, Gap: 0.000967, Runtime: 39.107879
ObjVal: 5124763.036120, Gap: 0.000633, Runtime: 28.889087
ObjVal: 4793846.417779, Gap: 0.000709, Runtime: 14.154494
ObjVal: 5398545.704074, Gap: 0.000895, Runtime: 27.361609
ObjVal: 4412119.636682, Gap: 0.000825, Runtime: 14.303360
ObjVal: 5836184.048321, Gap: 0.000886, Runtime: 18.612892
ObjVal: 5182446.082221, Gap: 0.000710, Runtime: 18.275420
ObjVal: 5629573.230350, Gap: 0.000670, Runtime: 51.699568
ObjVal: 5083204.436434, Gap: 0.000603, Runtime: 34.505135
ObjVal: 15825006.579915, Gap: 0.000947, Runtime: 313.664302
ObjVal: 17218469.914703, Gap: 0.000502, Runtime: 616.960576
ObjVal: 16905825.364772, Gap: 0.000957, Runtime: 207.902304
ObjVal: 20166466.768383, Gap: 0.001439, Runtime: 900.175077
ObjVal: 17375221.996054, Gap: 0.000640, Runtime: 212.298947
ObjVal: 19508285.835298, Gap: 0.000529, Runtime: 424.603688
ObjVal: 19692907.479417, Gap: 0.000629, Runtime: 552.241291
ObjVal: 19610432.809176, Gap: 0.000938, Runtime: 172.309972
ObjVal: 20124867.502362, Gap: 0.000780, Runtime: 407.144994
ObjVal: 19722602.130221, Gap: 0.000635, Runtime: 535.441795
