ObjVal: 3828427.383810, Gap: 0.000925, Runtime: 18.442704
ObjVal: 4814894.680225, Gap: 0.000994, Runtime: 76.050243
ObjVal: 5125983.535572, Gap: 0.000580, Runtime: 472.789107
ObjVal: 4796663.332158, Gap: 0.000965, Runtime: 37.371885
ObjVal: 5401094.567583, Gap: 0.000998, Runtime: 158.146415
ObjVal: 4414135.615446, Gap: 0.000989, Runtime: 89.010522
ObjVal: 5838260.053116, Gap: 0.000949, Runtime: 179.584473
ObjVal: 5180490.224617, Gap: 0.000239, Runtime: 46.374604
ObjVal: 5633349.617224, Gap: 0.000995, Runtime: 42.142241
ObjVal: 5085825.621408, Gap: 0.000937, Runtime: 135.705833
ObjVal: inf, Gap: inf, Runtime: 900.517706
ObjVal: 17273248.492090, Gap: 0.003313, Runtime: 901.777574
ObjVal: 16902501.368338, Gap: 0.000571, Runtime: 364.799857
ObjVal: 20159348.295319, Gap: 0.000856, Runtime: 522.703016
ObjVal: inf, Gap: inf, Runtime: 900.212383
ObjVal: 19514064.675693, Gap: 0.000570, Runtime: 265.968787
ObjVal: 19705626.194685, Gap: 0.000898, Runtime: 161.446988
ObjVal: 19611865.529684, Gap: 0.000768, Runtime: 180.734524
ObjVal: 20132270.873584, Gap: 0.000995, Runtime: 157.107632
ObjVal: 19723596.363931, Gap: 0.000181, Runtime: 900.571590
