ObjVal: 3829549.823975, Gap: 0.000966, Runtime: 7.892168
ObjVal: 4814020.539797, Gap: 0.000877, Runtime: 58.234150
ObjVal: 5126309.881825, Gap: 0.000647, Runtime: 81.649003
ObjVal: 4793830.794753, Gap: 0.000440, Runtime: 93.972238
ObjVal: 5400697.881093, Gap: 0.000898, Runtime: 137.898294
ObjVal: 4414496.340042, Gap: 0.000992, Runtime: 42.476782
ObjVal: 5835242.431386, Gap: 0.000378, Runtime: 164.222068
ObjVal: 5183757.401999, Gap: 0.000852, Runtime: 39.444732
ObjVal: 5632812.832587, Gap: 0.000931, Runtime: 38.727679
ObjVal: 5085137.409100, Gap: 0.000755, Runtime: 28.098201
ObjVal: 15826983.753925, Gap: 0.000592, Runtime: 187.841201
ObjVal: 17221563.907123, Gap: 0.000365, Runtime: 334.969686
ObjVal: 16896818.103040, Gap: 0.000188, Runtime: 616.467948
ObjVal: 20149239.479712, Gap: 0.000138, Runtime: 731.088405
ObjVal: 17369592.652894, Gap: 0.000096, Runtime: 321.436124
ObjVal: 19508259.939840, Gap: 0.000147, Runtime: 762.606657
ObjVal: 19691950.742427, Gap: 0.000113, Runtime: 624.625051
ObjVal: 19603642.442771, Gap: 0.000114, Runtime: 539.721736
ObjVal: 20120093.140684, Gap: 0.000219, Runtime: 345.073264
ObjVal: 19721758.473046, Gap: 0.000140, Runtime: 694.404405
