ObjVal: 3828849.301274, Gap: 0.000908, Runtime: 32.467858
ObjVal: 4813907.504879, Gap: 0.000867, Runtime: 170.756453
ObjVal: 5126838.437372, Gap: 0.000869, Runtime: 35.922655
ObjVal: 4796476.219552, Gap: 0.000976, Runtime: 19.676600
ObjVal: 5401151.718536, Gap: 0.000990, Runtime: 76.629862
ObjVal: 4413504.278916, Gap: 0.000792, Runtime: 30.462545
ObjVal: 5836205.014128, Gap: 0.000551, Runtime: 120.186049
ObjVal: 5183543.002487, Gap: 0.000872, Runtime: 38.760482
ObjVal: 5629269.463200, Gap: 0.000179, Runtime: 252.700162
ObjVal: 5086262.398744, Gap: 0.000986, Runtime: 69.010631
ObjVal: 15828965.144683, Gap: 0.000676, Runtime: 171.839622
ObjVal: 17220527.361617, Gap: 0.000366, Runtime: 769.321773
ObjVal: 16897561.256486, Gap: 0.000233, Runtime: 565.765499
ObjVal: 20160917.050366, Gap: 0.000736, Runtime: 355.335773
ObjVal: 17376738.885795, Gap: 0.000488, Runtime: 324.309064
ObjVal: 19508766.417407, Gap: 0.000248, Runtime: 627.941428
ObjVal: 19705072.880933, Gap: 0.000734, Runtime: 347.878378
ObjVal: 19613437.006737, Gap: 0.000555, Runtime: 633.815227
ObjVal: 20127227.252188, Gap: 0.000565, Runtime: 405.663218
ObjVal: 19730121.510772, Gap: 0.000558, Runtime: 327.004339
