ObjVal: 3829302.909241, Gap: 0.000962,  Runtime: 39.995099
ObjVal: 4813896.605323, Gap: 0.000941,  Runtime: 50.807568
ObjVal: 5127969.254056, Gap: 0.001000,  Runtime: 8.389745
ObjVal: 4796359.862113, Gap: 0.000952,  Runtime: 8.269925
ObjVal: 5400373.549866, Gap: 0.000975,  Runtime: 24.003212
ObjVal: 4413419.425563, Gap: 0.000661,  Runtime: 13.253813
ObjVal: 5837982.968669, Gap: 0.000957,  Runtime: 7.646124
ObjVal: 5182995.987466, Gap: 0.000813,  Runtime: 14.226244
ObjVal: 5629949.734824, Gap: 0.000380,  Runtime: 31.220042
ObjVal: 5085727.777531, Gap: 0.000971,  Runtime: 13.653815
ObjVal: 15824854.152528, Gap: 0.000411,  Runtime: 282.016983
ObjVal: 17230309.862244, Gap: 0.000873,  Runtime: 101.657701
ObjVal: 16903455.397991, Gap: 0.000552,  Runtime: 97.779842
ObjVal: 20164459.817247, Gap: 0.000914,  Runtime: 125.696303
ObjVal: 17382665.632006, Gap: 0.000896,  Runtime: 85.862317
ObjVal: 19509265.514484, Gap: 0.000187,  Runtime: 194.655197
ObjVal: 19707009.119482, Gap: 0.000943,  Runtime: 250.024112
ObjVal: 19616683.528639, Gap: 0.000786,  Runtime: 97.553180
ObjVal: 20135631.677464, Gap: 0.000969,  Runtime: 109.897109
ObjVal: 19732482.412137, Gap: 0.000784,  Runtime: 92.938677
mean:82.4773377
