ObjVal: 3828401.248713, Gap: 0.000658, Runtime: 23.138106
ObjVal: 4813849.490470, Gap: 0.000988, Runtime: 99.850676
ObjVal: 5126027.885793, Gap: 0.000717, Runtime: 7.729268
ObjVal: 4796326.442949, Gap: 0.000986, Runtime: 35.029950
ObjVal: 5398671.043198, Gap: 0.000645, Runtime: 8.913502
ObjVal: 4414128.875342, Gap: 0.000886, Runtime: 9.296386
ObjVal: 5836098.621420, Gap: 0.000689, Runtime: 15.042544
ObjVal: 5182101.237212, Gap: 0.000530, Runtime: 24.299495
ObjVal: 5633117.266944, Gap: 0.000980, Runtime: 10.410268
ObjVal: 5084917.655006, Gap: 0.000726, Runtime: 10.851689
ObjVal: 15824919.536824, Gap: 0.000459, Runtime: 298.724867
ObjVal: 17230250.636818, Gap: 0.000926, Runtime: 86.920903
ObjVal: 16907536.556763, Gap: 0.000831, Runtime: 48.857467
ObjVal: 20159676.521565, Gap: 0.000661, Runtime: 122.444147
ObjVal: 17380061.440300, Gap: 0.000704, Runtime: 38.445598
ObjVal: 19522072.814148, Gap: 0.000845, Runtime: 156.355968
ObjVal: 19692113.661601, Gap: 0.000141, Runtime: 375.980672
ObjVal: 19617591.461580, Gap: 0.000813, Runtime: 141.950544
ObjVal: 20132751.398293, Gap: 0.000852, Runtime: 105.485632
ObjVal: 19727668.821796, Gap: 0.000420, Runtime: 94.832176
mean:85.7279733
