ObjVal: 35674367.662378, Gap: 0.000908, Runtime: 577.974207
ObjVal: 32823708.220429, Gap: 0.000775, Runtime: 731.030093
ObjVal: 31161838.926473, Gap: 0.000933, Runtime: 698.176684
ObjVal: 30794535.648046, Gap: 0.000794, Runtime: 582.101168
ObjVal: 34226761.692888, Gap: 0.000991, Runtime: 487.656112
ObjVal: 31401286.804898, Gap: 0.001200, Runtime: 900.087350
ObjVal: 37644952.210330, Gap: 0.000953, Runtime: 641.273681
ObjVal: 34565473.730848, Gap: 0.002204, Runtime: 900.071325
ObjVal: 37164236.467830, Gap: 0.000963, Runtime: 741.212569
ObjVal: 38822959.880378, Gap: 0.001185, Runtime: 900.330701
ObjVal: 35007015.489804, Gap: 0.001602, Runtime: 900.891935
ObjVal: 33207336.270062, Gap: 0.001928, Runtime: 900.434136
