ObjVal: 3828432.593408, Gap: 0.000924, Runtime: 10.764679
ObjVal: 4813858.669708, Gap: 0.000943, Runtime: 19.832284
ObjVal: 5126850.059167, Gap: 0.001000, Runtime: 12.096256
ObjVal: 4795456.368963, Gap: 0.000902, Runtime: 14.680790
ObjVal: 5399043.211726, Gap: 0.000921, Runtime: 20.495843
ObjVal: 4412351.287887, Gap: 0.000816, Runtime: 6.159049
ObjVal: 5834860.509314, Gap: 0.000569, Runtime: 26.513705
ObjVal: 5180452.134560, Gap: 0.000656, Runtime: 22.015278
ObjVal: 5631767.065047, Gap: 0.000928, Runtime: 35.129826
ObjVal: 5084376.063534, Gap: 0.000774, Runtime: 24.012363
ObjVal: 15828835.438118, Gap: 0.000987, Runtime: 324.648641
ObjVal: 17223232.484144, Gap: 0.000656, Runtime: 172.428984
ObjVal: 16901247.995878, Gap: 0.000574, Runtime: 359.412968
ObjVal: 20150518.749310, Gap: 0.000496, Runtime: 440.322495
ObjVal: 17370103.859222, Gap: 0.000282, Runtime: 660.170240
ObjVal: 19508863.850227, Gap: 0.000389, Runtime: 371.590068
ObjVal: 19700733.420839, Gap: 0.000930, Runtime: 301.138045
ObjVal: 19610508.061043, Gap: 0.000806, Runtime: 230.689898
ObjVal: 20125869.514893, Gap: 0.000723, Runtime: 386.341245
ObjVal: 19723693.940426, Gap: 0.000603, Runtime: 179.666743
