ObjVal: 3828455.739225, Gap: 0.000931, Runtime: 8.712400
ObjVal: 4814966.858271, Gap: 0.000909, Runtime: 75.755940
ObjVal: 5126988.132265, Gap: 0.000935, Runtime: 17.440780
ObjVal: 4795788.249592, Gap: 0.000964, Runtime: 14.661921
ObjVal: 5401484.043817, Gap: 0.000991, Runtime: 142.911012
ObjVal: 4414428.248434, Gap: 0.000999, Runtime: 53.364335
ObjVal: 5835768.723078, Gap: 0.000676, Runtime: 38.637081
ObjVal: 5184540.536681, Gap: 0.000984, Runtime: 10.791384
ObjVal: 5631487.137412, Gap: 0.000680, Runtime: 40.148590
ObjVal: 5083783.500989, Gap: 0.000535, Runtime: 81.345437
ObjVal: 15829999.457553, Gap: 0.000951, Runtime: 147.276329
ObjVal: 17230635.038489, Gap: 0.000986, Runtime: 191.821833
ObjVal: 16907240.387245, Gap: 0.000827, Runtime: 161.612780
ObjVal: 20158561.967343, Gap: 0.000796, Runtime: 62.474193
ObjVal: 17380659.644404, Gap: 0.000822, Runtime: 161.864244
ObjVal: 19512119.883319, Gap: 0.000456, Runtime: 179.112912
ObjVal: 19702587.852029, Gap: 0.000867, Runtime: 110.058768
ObjVal: 19605429.740220, Gap: 0.000416, Runtime: 579.427226
ObjVal: 20124044.426406, Gap: 0.000619, Runtime: 34.115679
ObjVal: 19726622.182628, Gap: 0.000632, Runtime: 121.448331
