ObjVal: 3828407.556285, Gap: 0.000147, Runtime: 3600.001142
ObjVal: 4813858.669708, Gap: 0.000130, Runtime: 3600.001048
ObjVal: 5124010.234523, Gap: 0.000100, Runtime: 328.063613
ObjVal: 4793846.417779, Gap: 0.000100, Runtime: 415.559308
ObjVal: 5397279.190065, Gap: 0.000100, Runtime: 903.765848
ObjVal: 4411234.014818, Gap: 0.000100, Runtime: 116.548335
ObjVal: 5834860.509314, Gap: 0.000199, Runtime: 3600.002278
ObjVal: 5180434.594685, Gap: 0.000100, Runtime: 469.332364
ObjVal: 5629284.296735, Gap: 0.000100, Runtime: 821.107342
ObjVal: 5082623.229321, Gap: 0.000100, Runtime: 3600.001053
ObjVal: 15824562.173651, Gap: 0.000229, Runtime: 3600.003215
ObjVal: 17218179.883712, Gap: 0.000199, Runtime: 3600.001704
ObjVal: 16895931.363714, Gap: 0.000132, Runtime: 3600.010176
ObjVal: 20148877.610929, Gap: 0.000147, Runtime: 3600.005167
ObjVal: 17369601.528543, Gap: 0.000105, Runtime: 3600.002712
ObjVal: 19508285.835297, Gap: 0.000216, Runtime: 3600.002929
ObjVal: 19691999.107640, Gap: 0.000139, Runtime: 3600.002324
ObjVal: 19603657.099770, Gap: 0.000154, Runtime: 3600.009610
ObjVal: 20119300.811689, Gap: 0.000166, Runtime: 3600.013544
ObjVal: 19721596.954088, Gap: 0.000157, Runtime: 3600.002155
ObjVal: 572979.365460, Gap: 0.000000, Runtime: 0.213441
ObjVal: 572979.365460, Gap: 0.000000, Runtime: 0.162000
